Day,Time_Slot_1,Time_Slot_2,Time_Slot_3,Time_Slot_4
Monday,MO_M1,MO_M2,MO_A1,MO_A2
Tuesday,TU_M1,TU_M2,TU_A1,TU_A2
Wednesday,WE_M1,WE_M2,WE_A1,WE_A2
Thursday,TH_M1,TH_M2,TH_A1,TH_A2
Friday,FR_M1,FR_M2,FR_A1,FR_A2
